Year,Site,Region,Count.Independent,Count.Pups,Count.Total,Site code for analysis,Notes
2010,GIANTS GRAVEYARD,South,2,1,3,TH,
2011,GIANTS GRAVEYARD,South,9,5,14,TH,
2012,GIANTS GRAVEYARD,South,16,0,16,TH,
2013,GIANTS GRAVEYARD,South,47,3,50,TH,
2015,GIANTÍS GRAVEYARD*,South,3,1,4,TH,
1977,Tatoosh Island,North,NA,NA,0,TI,
1978,Tatoosh Island,North,NA,NA,0,TI,
1981,Tatoosh Island,North,NA,NA,0,TI,
1983,Tatoosh Island,North,NA,NA,0,TI,
1985,Tatoosh Island,North,NA,NA,0,TI,
1987,Tatoosh Island,North,NA,NA,0,TI,
1989,Tatoosh Island,North,NA,NA,0,TI,
1990,Tatoosh Island,North,NA,NA,0,TI,
1991,Tatoosh Island,North,NA,NA,0,TI,
1992,Tatoosh Island,North,NA,NA,0,TI,
1993,Tatoosh Island,North,NA,NA,0,TI,
1994,Tatoosh Island,North,NA,NA,1,TI,
1995,Tatoosh Island,North,NA,NA,0,TI,
1996,Tatoosh Island,North,NA,NA,0,TI,
1997,Tatoosh Island,North,NA,NA,4,TI,
1998,Tatoosh Island,North,NA,NA,0,TI,
1999,Tatoosh Island,North,NA,NA,5,TI,
2000,Tatoosh Island,North,NA,NA,2,TI,
2001,Tatoosh Island,North,0,0,0,TI,
2002,Tatoosh Island,North,NA,NA,0,TI,
2003,Tatoosh Island,North,NA,NA,0,TI,
2004,Tatoosh Island,North,NA,NA,0,TI,
2005,TATOOSH ISLAND,North,0,0,0,TI,
2006,TATOOSH ISLAND,North,1,0,1,TI,
2010,SLANT ROCK,North,0,0,0,TI,
2010,TATOOSH ISLAND,North,0,0,0,TI,
2011,SLANT ROCK,North,1,0,1,TI,
2011,TATOOSH ISLAND,North,7,0,7,TI,
2012,TATOOSH I.,North,3,0,3,TI,
2013,TATOOSH ISLAND,North,8,0,8,TI,
2015,MUSHROOM ROCK,North,1,0,1,TI,
2015,TATOOSH ISLAND,North,6,0,6,TI,
