SITE,Year,Survey,Source,Longitude,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,DERIMB,0.03,0.2,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,EVATRO,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,EVATRO,0,0,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,EVATRO,0.01,0.1,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,EVATRO,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,EVATRO,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,EVATRO,0.16,0.5,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,EVATRO,0.06,0.2,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,EVATRO,0.08,0.3,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,EVATRO,0.07,0.3,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,LEPSPP,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,LEPSPP,0,0,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,LEPSPP,0.04,0.2,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,LEPSPP,0.04,0.2,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,LEPSPP,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,LEPSPP,0.56,1.2,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,LEPSPP,0.02,0.1,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,LEPSPP,0.1,0.6,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,LEPSPP,0.12,0.6,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,ORTKOE,0.14,0.4,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,ORTKOE,0.12,0.4,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,ORTKOE,0,0,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,ORTKOE,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,ORTKOE,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,ORTKOE,0,0,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,ORTKOE,0,0,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,ORTKOE,0,0,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,ORTKOE,0,0,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,PYCHEL,0.22,0.5,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,PYCHEL,0.28,0.6,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,PYCHEL,0.11,0.3,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,PYCHEL,0.02,0.1,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,PYCHEL,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,PYCHEL,0.05,0.2,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,PYCHEL,0.06,0.2,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,PYCHEL,0.02,0.1,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,PYCHEL,0.01,0.1,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,PISOCH,0.02,0.1,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,PISOCH,0.04,0.3,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,PISOCH,0.01,0.1,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,PISOCH,0.06,0.2,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,PISOCH,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,PISOCH,0.1,0.4,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,PISOCH,0,0,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,PISOCH,0.04,0.2,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,PISOCH,0.13,0.4,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,SOLDAW,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,SOLDAW,0.02,0.1,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,SOLDAW,0,0,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,SOLDAW,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,SOLDAW,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,SOLDAW,0,0,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,SOLDAW,0,0,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,SOLDAW,0.02,0.1,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,SOLDAW,0.01,0.1,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,HENLEV,0.24,0.5,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,HENLEV,0.2,0.5,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,HENLEV,0.21,0.5,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,HENLEV,0.18,0.4,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,HENLEV,0.1,0.3,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,HENLEV,0.35,0.7,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,HENLEV,0.14,0.4,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,HENLEV,0.36,0.7,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,HENLEV,0.51,0.9,
Neah Bay (in),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,SOLSTI,0,0,
Neah Bay (out),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,50,seastar,,SOLSTI,0,0,
Anderson Pt. (Osprey I),1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,18.387,124,40.307,,4,99,seastar,,SOLSTI,0,0,
Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.307'W,48,19.061,124,40.307,,4,49,seastar,,SOLSTI,0,0,
Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,35,seastar,,SOLSTI,0,0,
Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,,4,100,seastar,,SOLSTI,0,0,
Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 41.037'W,47,58.385,124,41.037,,4,50,seastar,,SOLSTI,0.02,0.1,
Rock #305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 40.201'W,47,57.026,124,40.201,,4,50,seastar,,SOLSTI,0,0,
Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,124¡ 36.324'W,47,52.16,124,36.324,,4,100,seastar,,SOLSTI,0,0,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,3,urchin,,,0,0,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,3,urchin,,,0,0,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,3,urchin,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,3,urchin,,,0,0,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,3,urchin,,,0,0,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,3,urchin,,,0,0,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,3,urchin,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,4,urchin,,,0.02,0.02,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,3,urchin,,,0.11,0.15,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,3,urchin,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,2,urchin,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,3,urchin,,,0,0,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,,cucumber,,,0.25,0.12,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,,cucumber,,,0.05,0.02,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,cucumber,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,cucumber,,,0.41,0.1,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,,cucumber,,,0.08,0.04,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,,cucumber,,,0.84,0.61,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,,cucumber,,,0.53,0.51,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,,cucumber,,,0.03,0.04,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,,cucumber,,,0.08,0.11,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,,cucumber,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,,cucumber,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,,cucumber,,,0.03,0.02,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,,crabs,,,0,0,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,,crabs,,,0,0,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,crabs,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,crabs,,,0,0,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,,crabs,,,0,0,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,,crabs,,,0,0,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,,crabs,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,,crabs,,,0.01,0.02,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,,crabs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,,crabs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,,crabs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,,crabs,,,0.01,0.01,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,,chiton,,,0,0,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,,chiton,,,0,0,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,chiton,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,chiton,,,0,0,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,,chiton,,,0,0,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,,chiton,,,0,0,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,,chiton,,,0.03,0.02,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,,chiton,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,,chiton,,,0.03,0.02,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,,chiton,,,0.03,0.02,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,,chiton,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,,chiton,,,0.01,0.01,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,,scallop,,,0,0,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,,scallop,,,0,0,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,scallop,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,scallop,,,0.01,0.02,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,,scallop,,,0,0,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,,scallop,,,0,0,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,,scallop,,,0.04,0.07,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,,scallop,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,,scallop,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,,scallop,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,,scallop,,,0.04,0.03,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,,scallop,,,0.05,0.03,
Makah Bay,1999,Transect,"Kvitek 1999, Appx B2",,48,19.061,124,40.307,6,6,,nudibranchs,,,0,0,
Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",,48,18.387,124,40.307,6,6,,nudibranchs,,,0,0,
Pt. of the Arches,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,nudibranchs,,,0,0,
Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,,6,6,,nudibranchs,,,0,0,
Cape Johnson,1999,Transect,"Kvitek 1999, Appx B2",,47,58.385,124,41.037,6,6,,nudibranchs,,,0,0,
Rock #305,1999,Transect,"Kvitek 1999, Appx B2",,47,57.026,124,40.201,6,6,,nudibranchs,,,0,0,
Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",,47,52.16,124,36.324,6,6,,nudibranchs,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,6,6,,nudibranchs,,,0,0,
Tatoosh Island,1999,Transect,"Kvitek 1999, Appx B2",,48,23.428,124,44.283,12,12,,nudibranchs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,6,6,,nudibranchs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,12,12,,nudibranchs,,,0,0,
W. Chibahdehl,1999,Transect,"Kvitek 1999, Appx B2",,48,23.583,124,40.721,18,18,,nudibranchs,,,0,0,
